,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
359,19,8,0,2,1,1,1,2,0,1,0,0,2020-12-21 23:36:28.841340,10.47.227.158
360,19,9,0,2,1,0,2,2,0,1,2,2,2020-12-21 23:36:32.953289,10.47.227.158
361,20,11,2,2,0,3,1,1,1,2,0,2,2020-12-21 23:36:39.422226,10.47.227.158
362,20,12,0,2,1,3,1,0,1,2,1,1,2020-12-21 23:36:42.338294,10.47.227.158
363,20,14,0,1,2,5,2,0,1,2,0,1,2020-12-21 23:36:47.116310,10.47.227.158
364,21,0,0,1,2,0,1,0,0,0,0,0,2020-12-21 23:49:31.000000,10.63.255.131
365,21,1,1,2,2,0,2,0,1,1,0,0,2020-12-21 23:49:34.834953,10.63.255.131
366,21,2,2,0,2,0,0,0,2,1,0,0,2020-12-21 23:49:36.967245,10.63.255.131
367,21,3,2,1,1,0,1,1,0,1,0,0,2020-12-21 23:49:38.400305,10.63.255.131
368,21,4,2,0,2,2,1,0,0,1,0,0,2020-12-21 23:49:40.525695,10.63.255.131
369,21,5,0,0,0,2,0,0,0,1,0,2,2020-12-21 23:49:42.473080,10.63.255.131
370,21,6,0,0,0,2,2,1,0,2,0,2,2020-12-21 23:49:45.131801,10.63.255.131
371,21,7,1,1,0,1,2,1,0,2,0,2,2020-12-21 23:49:49.227358,10.63.255.131
372,21,8,1,0,1,1,0,0,0,2,1,0,2020-12-21 23:49:51.632203,10.63.255.131
373,21,9,1,1,0,3,0,2,0,1,1,2,2020-12-21 23:49:53.820426,10.63.255.131
374,21,10,1,2,2,1,2,2,2,1,0,0,2020-12-21 23:49:55.905241,10.63.255.131
375,22,0,0,1,2,0,1,0,0,0,0,0,2020-12-22 00:04:45.000000,10.97.137.170
376,22,1,0,2,1,0,2,0,1,1,0,0,2020-12-22 00:04:52.049502,10.97.137.170
377,22,2,1,1,0,2,2,1,1,1,0,0,2020-12-22 00:04:59.488095,10.97.137.170
378,22,3,2,0,2,0,0,0,1,2,0,0,2020-12-22 00:05:04.678141,10.97.137.170
379,22,4,1,1,0,0,1,1,1,2,0,0,2020-12-22 00:05:10.577259,10.97.137.170
380,22,5,0,0,0,4,0,0,2,0,0,0,2020-12-22 00:05:19.602374,10.97.137.170
381,22,6,0,0,0,3,2,0,1,0,2,2,2020-12-22 00:05:23.332481,10.97.137.170
382,22,7,0,0,0,3,2,0,1,0,0,1,2020-12-22 00:05:27.196975,10.97.137.170
383,22,8,1,1,0,2,1,1,1,0,1,1,2020-12-22 00:05:31.700994,10.97.137.170
384,22,9,2,1,1,2,0,2,1,0,1,1,2020-12-22 00:05:35.013689,10.97.137.170
385,22,10,0,0,0,3,1,1,1,0,2,2,2020-12-22 00:05:40.619323,10.97.137.170
386,22,11,1,2,2,1,2,2,1,0,2,0,2020-12-22 00:05:44.975761,10.97.137.170
387,22,12,1,0,1,1,0,0,1,0,0,1,2020-12-22 00:05:52.949132,10.97.137.170
388,22,13,0,0,0,1,0,0,1,0,2,0,2020-12-22 00:05:57.899612,10.97.137.170
389,22,14,0,1,2,2,2,2,1,0,2,1,2020-12-22 00:06:01.550843,10.97.137.170
390,22,15,2,1,1,2,2,1,1,0,2,2,2020-12-22 00:06:08.831118,10.97.137.170
391,22,16,1,1,0,2,1,2,1,0,0,0,2020-12-22 00:06:26.725714,10.97.137.170
392,22,17,1,1,0,2,0,1,1,0,0,0,2020-12-22 00:06:32.253084,10.97.137.170
393,22,18,1,1,0,2,0,1,1,0,1,0,2020-12-22 00:06:35.539572,10.97.137.170
